repository,pr_number,author,title,created_at,merged_at,base_branch,lines_added,lines_deleted,total_lines_changed,files_changed
BillingHubApi,981,chriscovert,"FSP-11145  Fix casing for netsuite connection state constants",2025-04-14T21:42:39Z,2025-04-14T22:08:37Z,master,5,5,10,1
BillingHubApi,980,chriscovert,"FSP-11145 Add NetSuite PaymentMethod list fetch",2025-04-14T15:39:25Z,2025-04-14T21:01:08Z,master,851,25,876,25
BillingHubApi,979,danwatkins-fsp,"FSP-11241 Remove PaymentDueAtUtc request and response properties",2025-04-11T20:13:15Z,2025-04-24T15:55:49Z,master,60,438,498,22
BillingHubApi,978,davidcooper-fsp,"FSP-11065 Get Netsuite Connection",2025-04-11T19:21:08Z,2025-04-11T20:52:04Z,master,175,5,180,16
BillingHubApi,977,danwatkins-fsp,"FSP-11237 Add AutoBillingAtUtc request and response properties that mirror PaymentDueAtUtc",2025-04-10T18:00:22Z,2025-04-14T18:52:47Z,master,436,70,506,24
BillingHubApi,976,danwatkins-fsp,"FSP-11244 Fix membership subscriptions none payment method not using tokens on retry",2025-04-08T18:42:45Z,2025-04-09T14:07:39Z,master,85,46,131,4
BillingHubApi,975,danwatkins-fsp,"Remove unreferenced methods",2025-04-04T16:59:34Z,2025-04-07T14:04:57Z,master,4,483,487,23
BillingHubApi,974,danwatkins-fsp,"FSP-10408 Remove writes to inv.PaymentTokens.MerchantAccountId",2025-04-03T13:29:06Z,2025-04-03T15:40:47Z,master,0,47,47,6
BillingHubApi,973,timsquires,"FSP-11160 update common api version to use new sim class enum value",2025-03-27T19:37:14Z,2025-04-09T15:07:08Z,master,27,9,36,2
BillingHubApi,972,davidcooper-fsp,"FSP-11063 Update Netsuite Connection",2025-03-27T13:50:27Z,2025-04-11T19:14:18Z,master,281,26,307,14
BillingHubApi,971,chriscovert,"FSP-11124 Add AccountingSyncPaymentMethod fields to PaymentMethod PUT",2025-03-26T18:49:14Z,2025-05-01T13:58:34Z,master,498,13,511,17
BillingHubApi,970,davidcooper-fsp,"FSP-11062 Operator NetSuite Connection",2025-03-25T20:48:34Z,2025-03-27T13:48:18Z,master,1247,604,1851,27
BillingHubApi,969,chriscovert,"FSP-11112 QBO payment methods list fetch",2025-03-25T13:36:24Z,2025-03-27T16:27:53Z,master,265,2,267,11
BillingHubApi,968,danwatkins-fsp,"Update MaintenanceHubApiClient to 8.0.0 and fix BaseClient warnings",2025-03-18T19:46:22Z,2025-03-18T20:46:50Z,master,432,91,523,4
BillingHubApi,967,davidcooper-fsp,"FSP-11004 Netsuite Taxes",2025-03-18T15:35:42Z,2025-04-17T16:33:11Z,master,383,53,436,10
BillingHubApi,966,danwatkins-fsp,"FSP-10989 Add Sallie Mae to student financing account management",2025-03-13T20:08:52Z,2025-03-26T14:12:26Z,master,587,80,667,22
BillingHubApi,965,chriscovert,"FSP-11035 Subscription loan payments should save AmountSpent",2025-03-13T13:38:24Z,2025-03-13T13:57:01Z,master,28,3,31,2
BillingHubApi,964,chriscovert,"FSP-10978 Add NetSuite support to AccountingSync Product endpoints",2025-03-11T13:33:23Z,2025-03-18T15:31:27Z,master,216,47,263,27
BillingHubApi,963,chriscovert,"FSP-10668 Query Accounts for NetSuite via ApiDeck",2025-03-10T19:02:38Z,2025-03-17T15:45:14Z,master,2384,99,2483,51
BillingHubApi,962,danwatkins-fsp,"FSP-10936 Do not inactivate tax when unsold package is inactivated",2025-03-07T16:48:26Z,2025-03-07T19:38:22Z,master,33,18,51,3
BillingHubApi,961,danwatkins-fsp,"FSP-10986 Fix initialize sale by reservation with preview requiring student financing permissions",2025-03-07T14:54:31Z,2025-03-07T15:09:52Z,master,73,14,87,5
BillingHubApi,960,danwatkins-fsp,"FSP-10985 Do not create new payment token on student financing loan sync",2025-03-07T14:44:24Z,2025-03-07T15:07:44Z,master,22,2,24,2
BillingHubApi,959,danwatkins-fsp,"FSP-10967 Update FSP-Packages to 15.84.0",2025-03-05T14:56:28Z,2025-03-05T16:13:10Z,master,39,13,52,3
BillingHubApi,958,chriscovert,"FSP-10945 Move loan payment validation to StudentFinancingService",2025-03-05T14:43:15Z,2025-03-07T20:05:49Z,master,82,81,163,3
BillingHubApi,957,chriscovert,"FSP-10872 Loan payments for membership subscriptions",2025-02-27T16:41:57Z,2025-03-07T20:47:01Z,master,790,50,840,17
BillingHubApi,956,danwatkins-fsp,"Remove unused Chargify code",2025-02-24T22:19:02Z,2025-02-24T22:25:59Z,master,7,1082,1089,4
BillingHubApi,955,chriscovert,"FSP-10700 Include all line items when updating total",2025-02-17T14:49:45Z,2025-02-17T16:57:20Z,master,17,14,31,2
BillingHubApi,954,danwatkins-fsp,"FSP-10448 Use package rate for eligible products on initialize sale by reservation",2025-02-14T17:55:27Z,2025-02-20T21:08:36Z,master,103,4,107,2
BillingHubApi,953,danwatkins-fsp,"Run feature-1 build on push to branch",2025-02-13T20:45:52Z,2025-02-19T14:07:28Z,master,12,109,121,3
BillingHubApi,952,danwatkins-fsp,"FSP-10778 Require payment token null when creating membership subscription without CC or bank account",2025-02-13T19:00:18Z,2025-02-13T19:25:35Z,master,27,3,30,2
BillingHubApi,951,danwatkins-fsp,"FSP-10779 Remove redundant payment token loads from membership subscription endpoints",2025-02-13T17:43:00Z,2025-02-13T18:58:36Z,master,24,55,79,2
BillingHubApi,950,chriscovert,"FSP-10533 Async reservation cache invalidation on instructor rate PUT",2025-02-12T21:26:44Z,2025-02-13T22:16:59Z,master,71,2,73,4
BillingHubApi,949,danwatkins-fsp,"FSP-10749 Consolidate and fix Azure Function queue trigger configs",2025-02-11T22:12:22Z,2025-02-12T15:16:15Z,master,108,184,292,15
BillingHubApi,948,chriscovert,"FSP-10719 Don't apply price group product discounts to external training",2025-02-11T15:33:06Z,2025-02-11T20:45:07Z,master,57,8,65,4
BillingHubApi,946,danwatkins-fsp,"FSP-10411 Add multi-merchant support to membership subscriptions",2025-02-10T16:44:02Z,2025-02-10T17:58:24Z,master,32,1,33,2
BillingHubApi,945,danwatkins-fsp,"FSP-10460 Require track locations on preferences save when there are multiple enabled merchant accounts",2025-02-10T15:43:50Z,2025-02-10T16:42:06Z,master,56,7,63,2
BillingHubApi,944,danwatkins-fsp,"FSP-10410 Add multi-merchant support to customer account purchase",2025-02-07T22:40:06Z,2025-02-10T14:47:28Z,master,275,36,311,5
BillingHubApi,943,danwatkins-fsp,"FSP-10462 Add multi-merchant support for MX locations in SalesService.ProcessPayments",2025-02-07T16:39:03Z,2025-02-10T15:39:34Z,master,227,40,267,16
BillingHubApi,942,chriscovert,"FSP-10700 Update prices on draft invoices when price changes are applied",2025-02-07T15:56:51Z,2025-02-11T22:19:13Z,master,207,25,232,9
BillingHubApi,941,danwatkins-fsp,"FSP-10409 Add multi-merchant support to SalesService.ProcessPayments",2025-02-07T15:09:10Z,2025-02-10T14:24:23Z,master,314,37,351,15
BillingHubApi,940,danwatkins-fsp,"FSP-10683 Remove ProPay support for membership subscriptions payment process",2025-02-06T11:46:02Z,2025-02-07T20:58:58Z,master,128,972,1100,14
BillingHubApi,939,davidcooper-fsp,"FSP-8135 Hide FSP Staff from QBO Customer Mapping Page",2025-02-05T22:32:01Z,2025-02-06T21:27:24Z,master,66,9,75,5
BillingHubApi,938,danwatkins-fsp,"Cleanup MembershipSubscriptionService",2025-02-05T17:29:41Z,2025-02-05T18:59:22Z,master,26,33,59,2
BillingHubApi,937,danwatkins-fsp,"Fix membership subscription test failures in non-leap February and reduce fixture initialization hangs",2025-02-03T18:16:07Z,2025-02-03T20:28:06Z,master,4,4,8,3
BillingHubApi,936,danwatkins-fsp,"FSP-10405 Allow additional Payrix merchant accounts to be created without being used",2025-01-31T21:43:46Z,2025-02-06T21:42:43Z,master,73,6,79,7
BillingHubApi,935,danwatkins-fsp,"FSP-6380 Do not change previously saved aircraft rate back to standard when invoice is continued",2025-01-23T21:57:59Z,2025-02-19T19:23:09Z,master,53,97,150,2
BillingHubApi,934,danwatkins-fsp,"Stop unnecessarily tracking locations for all tests in SalesTests",2025-01-22T20:58:52Z,2025-01-22T21:14:12Z,master,113,177,290,1
BillingHubApi,933,danwatkins-fsp,"FSP-10336 Add SQL lock on student financing loan during Stratus webhook",2025-01-21T22:50:35Z,2025-01-22T14:21:49Z,master,56,8,64,5
